id,sentence_text,label,label_text,control,framework,criterion,source
S0194,Data breaches are reported to the Information Commissioner's Office within 72 hours.,1,COMPLIANT,DSPT6_Incidents,DSPT,breaches reported to ICO within 72 hours,dspt_definition
S0195,Any reportable breach is notified to the ICO within the required timeframe.,1,COMPLIANT,DSPT6_Incidents,DSPT,breaches reported to ICO within 72 hours,dspt_definition
S0196,All incidents and near misses are recorded in our incident log.,1,COMPLIANT,DSPT6_Incidents,DSPT,incidents logged and reviewed,dspt_definition
S0197,The incident log is reviewed by the management team each month.,1,COMPLIANT,DSPT6_Incidents,DSPT,incidents logged and reviewed,dspt_definition
S0198,Staff know who to tell if they think a data breach has happened.,1,COMPLIANT,DSPT6_Incidents,DSPT,staff know how to report incidents,dspt_definition
S0199,Everyone is clear on how to report a suspected security incident.,1,COMPLIANT,DSPT6_Incidents,DSPT,staff know how to report incidents,dspt_definition
S0200,We act on security advisories when they are issued.,1,COMPLIANT,DSPT6_Incidents,DSPT,security advisories acted upon,dspt_definition
S0201,There is no procedure for responding to a data security incident.,0,NON_COMPLIANT,DSPT6_Incidents,DSPT,no incident response procedure,dspt_definition
S0202,We have never planned for what to do in the event of a cyber attack.,0,NON_COMPLIANT,DSPT6_Incidents,DSPT,no incident response procedure,dspt_definition
S0203,A data breach occurred but was not reported to the ICO.,0,NON_COMPLIANT,DSPT6_Incidents,DSPT,breaches not reported / reported late,dspt_definition
S0204,The breach was reported to the regulator several weeks after it was discovered.,0,NON_COMPLIANT,DSPT6_Incidents,DSPT,breaches not reported / reported late,cqc_style
S0205,Incidents are dealt with informally and not written down anywhere.,0,NON_COMPLIANT,DSPT6_Incidents,DSPT,incidents not recorded,dspt_definition
S0206,There is no log of past data security incidents.,0,NON_COMPLIANT,DSPT6_Incidents,DSPT,incidents not recorded,dspt_definition
S0207,Staff did not know how to report a suspected data breach.,0,NON_COMPLIANT,DSPT6_Incidents,DSPT,staff don't know how to report incidents,cqc_style
S0208,Security warnings from our supplier are received but not acted on.,0,NON_COMPLIANT,DSPT6_Incidents,DSPT,security advice ignored,dspt_definition
S0209,A business continuity plan covers what we do if our IT systems fail.,1,COMPLIANT,DSPT7_Continuity,DSPT,a business continuity plan in place,dspt_definition
S0210,Our continuity plan includes how to keep delivering care during a cyber incident.,1,COMPLIANT,DSPT7_Continuity,DSPT,a business continuity plan in place,dspt_definition
S0211,Care records are backed up every night.,1,COMPLIANT,DSPT7_Continuity,DSPT,backups taken regularly,dspt_definition
S0212,Backups of all electronic records run automatically each day.,1,COMPLIANT,DSPT7_Continuity,DSPT,backups taken regularly,dspt_definition
S0213,We test our backups quarterly to confirm data can be restored.,1,COMPLIANT,DSPT7_Continuity,DSPT,backups tested for successful recovery,dspt_definition
S0214,A restore test is carried out to make sure the backups actually work.,1,COMPLIANT,DSPT7_Continuity,DSPT,backups tested for successful recovery,dspt_definition
S0215,Backups are encrypted and held separately from the main system.,1,COMPLIANT,DSPT7_Continuity,DSPT,backups stored securely/offsite/encrypted,dspt_definition
S0216,Copies of our data are stored off-site in case of fire or theft.,1,COMPLIANT,DSPT7_Continuity,DSPT,backups stored securely/offsite/encrypted,dspt_definition
S0217,The continuity plan is reviewed and updated every year.,1,COMPLIANT,DSPT7_Continuity,DSPT,continuity plan reviewed,dspt_definition
S0218,There is no continuity plan for what happens if our systems go down.,0,NON_COMPLIANT,DSPT7_Continuity,DSPT,no continuity plan,dspt_definition
S0219,We have not considered how care would continue during an IT failure.,0,NON_COMPLIANT,DSPT7_Continuity,DSPT,no continuity plan,dspt_definition
S0220,Electronic care records are not backed up at all.,0,NON_COMPLIANT,DSPT7_Continuity,DSPT,no backups taken,dspt_definition
S0221,There is no backup of the information held on the office computer.,0,NON_COMPLIANT,DSPT7_Continuity,DSPT,no backups taken,dspt_definition
S0222,The backups have never been tested to see if they would restore.,0,NON_COMPLIANT,DSPT7_Continuity,DSPT,backups never tested,dspt_definition
S0223,We assume the backup works but have never checked.,0,NON_COMPLIANT,DSPT7_Continuity,DSPT,backups never tested,dspt_definition
S0224,Backups are kept on a USB drive left plugged into the same computer.,0,NON_COMPLIANT,DSPT7_Continuity,DSPT,backups stored insecurely or not at all,dspt_definition
S0225,The only copy of our data is on the machine in the office.,0,NON_COMPLIANT,DSPT7_Continuity,DSPT,backups stored insecurely or not at all,dspt_definition
S0226,The continuity plan was written years ago and has not been looked at since.,0,NON_COMPLIANT,DSPT7_Continuity,DSPT,continuity plan outdated or absent,cqc_style
S0227,All operating systems in use are still supported by their vendor.,1,COMPLIANT,DSPT8_UnsupportedSystems,DSPT,only supported systems in use,dspt_definition
S0228,No unsupported software or browsers are used anywhere in the service.,1,COMPLIANT,DSPT8_UnsupportedSystems,DSPT,only supported systems in use,dspt_definition
S0229,Our browsers and applications all remain within vendor support.,1,COMPLIANT,DSPT8_UnsupportedSystems,DSPT,only supported systems in use,dspt_definition
S0230,"Where an older system is still required, the risk is documented and managed.",1,COMPLIANT,DSPT8_UnsupportedSystems,DSPT,legacy systems identified and mitigated,dspt_definition
S0231,Legacy equipment is isolated from the main network while we replace it.,1,COMPLIANT,DSPT8_UnsupportedSystems,DSPT,legacy systems identified and mitigated,dspt_definition
S0232,Software that reached end-of-life has been removed from our devices.,1,COMPLIANT,DSPT8_UnsupportedSystems,DSPT,unsupported software removed,dspt_definition
S0233,The home uses an operating system that no longer receives security updates.,0,NON_COMPLIANT,DSPT8_UnsupportedSystems,DSPT,unsupported OS/software/browsers in use,dspt_definition
S0234,An unsupported web browser is still used to access the care system.,0,NON_COMPLIANT,DSPT8_UnsupportedSystems,DSPT,unsupported OS/software/browsers in use,dspt_definition
S0235,Old software remains in daily use with no assessment of the risk.,0,NON_COMPLIANT,DSPT8_UnsupportedSystems,DSPT,legacy systems used with no mitigation,dspt_definition
S0236,The legacy rota system is out of support and connected to the main network.,0,NON_COMPLIANT,DSPT8_UnsupportedSystems,DSPT,legacy systems used with no mitigation,cqc_style
S0237,Obsolete software has been kept because replacing it would be inconvenient.,0,NON_COMPLIANT,DSPT8_UnsupportedSystems,DSPT,obsolete software knowingly retained,dspt_definition
S0238,Personal data is encrypted both when stored and when sent externally.,1,COMPLIANT,DSPT9_ITProtection,DSPT,data encrypted at rest and/or in transit,dspt_definition
S0239,All laptops are encrypted so data is protected if a device is lost.,1,COMPLIANT,DSPT9_ITProtection,DSPT,data encrypted at rest and/or in transit,dspt_definition
S0240,Care information sent to the GP is encrypted in transit.,1,COMPLIANT,DSPT9_ITProtection,DSPT,data encrypted at rest and/or in transit,dspt_definition
S0241,We have a cyber security strategy based on a recognised framework.,1,COMPLIANT,DSPT9_ITProtection,DSPT,a cyber security strategy based on a proven framework,dspt_definition
S0242,Our approach to protecting IT systems follows the Cyber Essentials framework.,1,COMPLIANT,DSPT9_ITProtection,DSPT,Cyber Essentials (or equivalent) in place,dspt_definition
S0243,The home holds current Cyber Essentials certification.,1,COMPLIANT,DSPT9_ITProtection,DSPT,Cyber Essentials (or equivalent) in place,dspt_definition
S0244,We submitted our Data Security and Protection Toolkit and met the standards.,1,COMPLIANT,DSPT9_ITProtection,DSPT,DSPT submitted / standards met,dspt_definition
S0245,The DSPT assessment was completed and published before the deadline.,1,COMPLIANT,DSPT9_ITProtection,DSPT,DSPT submitted / standards met,dspt_definition
S0246,Our IT protections are reviewed at least once a year.,1,COMPLIANT,DSPT9_ITProtection,DSPT,IT protections reviewed annually,dspt_definition
S0247,Resident data is stored on USB sticks that are not encrypted.,0,NON_COMPLIANT,DSPT9_ITProtection,DSPT,sensitive data unencrypted,dspt_definition
S0248,Care records are emailed without any encryption.,0,NON_COMPLIANT,DSPT9_ITProtection,DSPT,sensitive data unencrypted,dspt_definition
S0249,Laptops holding personal data are not encrypted.,0,NON_COMPLIANT,DSPT9_ITProtection,DSPT,sensitive data unencrypted,dspt_definition
S0250,There is no strategy for protecting our IT systems from cyber threats.,0,NON_COMPLIANT,DSPT9_ITProtection,DSPT,no cyber security strategy,dspt_definition
S0251,We do not follow any recognised cyber security framework.,0,NON_COMPLIANT,DSPT9_ITProtection,DSPT,no recognised framework followed,dspt_definition
S0252,The home has not completed its Data Security and Protection Toolkit this year.,0,NON_COMPLIANT,DSPT9_ITProtection,DSPT,DSPT not submitted / standards not met,dspt_definition
S0253,Our last DSPT submission did not meet the required standards.,0,NON_COMPLIANT,DSPT9_ITProtection,DSPT,DSPT not submitted / standards not met,dspt_definition
S0254,IT security arrangements have not been reviewed for several years.,0,NON_COMPLIANT,DSPT9_ITProtection,DSPT,protections never reviewed,dspt_definition
S0255,Data processing agreements are in place with all our IT suppliers.,1,COMPLIANT,DSPT10_Suppliers,DSPT,data processing agreements in place with suppliers,dspt_definition
S0256,Every supplier handling resident data has signed a processing agreement.,1,COMPLIANT,DSPT10_Suppliers,DSPT,data processing agreements in place with suppliers,dspt_definition
S0257,Our contracts require suppliers to protect the personal data they process.,1,COMPLIANT,DSPT10_Suppliers,DSPT,supplier contracts include data security requirements,dspt_definition
S0258,Data security obligations are written into our supplier contracts.,1,COMPLIANT,DSPT10_Suppliers,DSPT,supplier contracts include data security requirements,dspt_definition
S0259,Suppliers are contractually required to meet the national data security standards.,1,COMPLIANT,DSPT10_Suppliers,DSPT,suppliers held accountable for NDG standards,dspt_definition
S0260,We check that our care system provider maintains its own DSPT compliance.,1,COMPLIANT,DSPT10_Suppliers,DSPT,supplier compliance monitored,dspt_definition
S0261,No data processing agreements have been signed with our software suppliers.,0,NON_COMPLIANT,DSPT10_Suppliers,DSPT,no data processing agreements with suppliers,dspt_definition
S0262,Our IT provider has access to resident data with no written agreement in place.,0,NON_COMPLIANT,DSPT10_Suppliers,DSPT,no data processing agreements with suppliers,dspt_definition
S0263,Supplier contracts do not mention data security at all.,0,NON_COMPLIANT,DSPT10_Suppliers,DSPT,supplier contracts silent on data security,dspt_definition
S0264,The contract with our care system provider says nothing about protecting data.,0,NON_COMPLIANT,DSPT10_Suppliers,DSPT,supplier contracts silent on data security,dspt_definition
S0265,Third parties were given access to resident records without any contract.,0,NON_COMPLIANT,DSPT10_Suppliers,DSPT,suppliers given access with no accountability,cqc_style
S0266,We have never checked whether our suppliers meet any data security standards.,0,NON_COMPLIANT,DSPT10_Suppliers,DSPT,supplier compliance never checked,dspt_definition
