id,sentence_text,pass2_control,pass2_label,note
P02231,No unapproved applications may be run on our computers.,CE5_Malware,1,
P02232,Real-time scanning is enabled to check files as they are opened in real-time.,CE5_Malware,1,
P02235,Files are checked immediately upon opening as a security measure.,CE5_Malware,1,
P02240,All anti-malware software detection results are reviewed and validated by our IT provider.,CE5_Malware,1,
P02257,Failure to equip personal laptops with anti-virus software is not permitted,CE5_Malware,0,
P02260,The use of personal laptops without anti-virus software constitutes a compliance failure,CE5_Malware,0,
P02262,The anti-virus software on most devices is not fully up-to-date.,CE5_Malware,0,
P02271,It is critical that malware protection is updated annually; as it has not been since the last review.,CE5_Malware,0,
P02302,Anti-virus software on office PCs is non-functional and so remains disabled.,CE5_Malware,0,
P02303,Alerts from anti-virus software are not monitored or reviewed.,CE5_Malware,0,
P02307,Anti-virus alerts are logged but never reviewed or acted upon.,CE5_Malware,0,
P02325,A clear assignment of responsibility for confidential information exists.,DSPT1_ConfidentialData,1,
P02326,Resident confidentiality is formally assigned to a designated person.,DSPT1_ConfidentialData,1,
P02328,The manager is responsible for ensuring data protection compliance.,DSPT1_ConfidentialData,1,
P02329,Data protection falls within the registered manager's overall remit.,DSPT1_ConfidentialData,1,
P02330,The manager is the primary point of contact for data protection issues.,DSPT1_ConfidentialData,1,
P02331,Data protection is within the scope of the manager's responsibilities.,DSPT1_ConfidentialData,1,
P02344,Confidentiality of care records is a fundamental aspect of our data handling protocols,DSPT1_ConfidentialData,1,
P02362,"Data protection accountability remains undefined, compromising the home's regulatory compliance.",DSPT1_ConfidentialData,0,
P02366,There is no staff member with formalised responsibility for maintaining confidentiality.,DSPT1_ConfidentialData,0,
P02375,Inadequate record-keeping has resulted in confidential handover notes being left in the staff room overnight.,DSPT1_ConfidentialData,0,
P02381,Confidentiality obligations are formalised as part of every member of staff's contract.,DSPT2_StaffResponsibilities,1,
P02392,Staff sign a confidentiality agreement before commencing employment with our service.,DSPT2_StaffResponsibilities,1,
P02393,All new staff members are sign a confidentiality agreement before they start work.,DSPT2_StaffResponsibilities,1,
P02412,There is no data protection or confidentiality information in staff contracts.,DSPT2_StaffResponsibilities,0,
P02413,Staff contracts are deficient in terms of data protection and confidentiality arrangements.,DSPT2_StaffResponsibilities,0,
P02425,"Data policy breaches have been detected, but no subsequent correction has been implemented.",DSPT2_StaffResponsibilities,0,
P02426,We have identified data policy breaches without subsequently taking corrective action.,DSPT2_StaffResponsibilities,0,
P02445,Staff are complete a mandatory annual information governance training programme,DSPT3_Training,1,
P02452,All new starters undergo data security training as part of their induction process.,DSPT3_Training,1,
P02460,Our induction process includes an information governance briefing in the first week,DSPT3_Training,1,
P02462,"Information governance is integrated into our induction programme, starting with the first week",DSPT3_Training,1,
P02469,All staff members are fully compliant with data security protocols as per our training matrix.,DSPT3_Training,1,
P02472,Our staff training records confirm that all personnel are compliant with data security requirements.,DSPT3_Training,1,
P02489,Phishing awareness training is in place for all staff.,DSPT3_Training,1,
P02506,Data security training for the team is not currently provided.,DSPT3_Training,0,
P02508,Annual data security training for the team is not implemented.,DSPT3_Training,0,
P02512,All new staff members must undergo training on information governance prior to starting their employment.,DSPT3_Training,0,
P02518,Confidential data handling is not a part of the induction procedure.,DSPT3_Training,0,
P02526,"The data security module has not been completed by thirty per cent of staff, resulting in a significant compliance issue.",DSPT3_Training,0,
P02527,"Staff have not met the data security module requirement, with only thirty per cent of staff having completed it.",DSPT3_Training,0,
P02538,It is the responsibility of the registered manager to have received information governance training.,DSPT3_Training,0,
P02540,The registered manager's completion of information governance training is the only instance recorded in our training records.,DSPT3_Training,0,
P02550,Staff are expected to complete data security training before commencing work,DSPT3_Training,0,
P02553,Staff have not received necessary training on identifying phishing emails,DSPT3_Training,0,
P02558,There has been no provision of training on phishing email recognition for staff members,DSPT3_Training,0,
P02560,Cyber awareness training is a mandatory requirement for all staff members.,DSPT3_Training,0,
P02562,Inadequate training on cyber security protocols is a significant failing of this service.,DSPT3_Training,0,
P02566,Only personnel directly involved in patient care may access care records.,DSPT4_DataAccess,1,
P02580,All staff are informed to promptly destroy personal data once its functional purpose has expired.,DSPT4_DataAccess,1,
P02581,"Personal data is securely archived for a maximum of 12 months, thereafter disposed of in accordance with data protection regulations.",DSPT4_DataAccess,1,
P02589,"All resident records accesses are tracked through a single, centralised point",DSPT4_DataAccess,1,
P02590,All record accesses are traceable via a single tracking system,DSPT4_DataAccess,1,
P02591,Each resident record access is logged and retrievable via a single entry point,DSPT4_DataAccess,1,
P02611,"Access permissions are managed in accordance with job role definitions, with regular review and update",DSPT4_DataAccess,1,
P02616,Staff will not be permitted to access resident records outside of their designated role.,DSPT4_DataAccess,0,
P02638,Shared logins mean the viewer's identity cannot be traced for any record accessed.,DSPT4_DataAccess,0,
P02653,Role-based access controls are not implemented for the care records system,DSPT4_DataAccess,0,
P02654,"Staff have unfettered access to the care records system, with no role-based restrictions",DSPT4_DataAccess,0,
P02655,"The provider's data access controls were inadequate, failing to implement a robust system for managing access to sensitive information.",DSPT4_DataAccess,0,
P02661,Our data handling processes are subject to annual review and audit.,DSPT5_ProcessReviews,1,
P02663,Our data handling processes undergo a formal review at least once a year.,DSPT5_ProcessReviews,1,
P02675,"Upon occurrence of a near miss, we conduct a workshop to strengthen the process",DSPT5_ProcessReviews,1,
P02706,"The policy requires discussion of near misses, yet none occur, leading to stagnation.",DSPT5_ProcessReviews,0,
P02737,Data breaches are formally mandated to be reported to the Information Commissioner's Office within 72 hours.,DSPT6_Incidents,1,
P02741,Reportable breaches is reported to the ICO by the specified cut-off date.,DSPT6_Incidents,1,
P02742,The ICO is informed of all reportable breaches within the timeframe as outlined.,DSPT6_Incidents,1,
P02743,It is in place to notify the ICO of any reportable breach.,DSPT6_Incidents,1,
P02746,Our policy requires all incidents and near misses to be logged in the incident log.,DSPT6_Incidents,1,
P02754,All incident logs are subject to regular review by the management team.,DSPT6_Incidents,1,
P02780,We are not compliant with data security incident response procedures.,DSPT6_Incidents,0,
P02795,Failure to report the breach to the regulator in a timely manner has occurred.,DSPT6_Incidents,0,
P02821,There is a failure to implement our supplier security warning protocol in accordance with our policies.,DSPT6_Incidents,0,
P02827,"In the event of an IT system failure, our business continuity plan takes immediate effect to safeguard our service delivery.",DSPT7_Continuity,1,
P02842,All electronic records have daily automatic backups.,DSPT7_Continuity,1,
P02850,Regular quarterly data recovery tests are performed to confirm the integrity of our backup system.,DSPT7_Continuity,1,
P02852,A restore test confirms backups function correctly.,DSPT7_Continuity,1,
P02853,Backups are verified via regular restore tests.,DSPT7_Continuity,1,
P02855,Restore tests are in place to verify the integrity of our backups.,DSPT7_Continuity,1,
P02872,"The continuity plan is reviewed and updated annually, as stipulated in our regulatory framework.",DSPT7_Continuity,1,
P02874,"The continuity plan is subject to annual review and update, as a statutory obligation.",DSPT7_Continuity,1,
P02875,The continuity plan is reviewed and updated every 12 months.,DSPT7_Continuity,1,
P02881,"Prior to systems failure, a fully-approved continuity plan must be in place to prevent uncontrolled downtime.",DSPT7_Continuity,0,
P02888,Electronic care records are not backed up in accordance with the relevant regulatory requirements.,DSPT7_Continuity,0,
P02894,Failure to back up office computer data is unacceptable and must be addressed immediately,DSPT7_Continuity,0,
P02895,Proper data backup procedures are not in place on the office computer,DSPT7_Continuity,0,
P02906,"We assume our backup system is operational, but we have not conducted a recent integrity check.",DSPT7_Continuity,0,
P02924,The continuity plan has not been reviewed in line with its prescribed timeframe.,DSPT7_Continuity,0,
P02944,"As per policy, our IT team ensures all browsers and applications are within the vendor's official support window.",DSPT8_UnsupportedSystems,1,
P02946,Our system administrators are regularly check and update browsers and applications.,DSPT8_UnsupportedSystems,1,
P02960,All software with end-of-life status has been removed from our devices to maintain compliance and prevent security risks.,DSPT8_UnsupportedSystems,1,
P02966,"The home's chosen operating system is no longer supported by its vendor, leaving us vulnerable to security threats.",DSPT8_UnsupportedSystems,0,
P02978,Old software continues to be in use without risk assessment being conducted,DSPT8_UnsupportedSystems,0,
P03010,It is in place to encrypt all care information transmitted to the GP,DSPT9_ITProtection,1,
P03015,The use of a recognised framework underpins our cyber security strategy.,DSPT9_ITProtection,1,
P03016,Our cyber security strategy adheres to a nationally recognised framework for implementation.,DSPT9_ITProtection,1,
P03026,We maintain current Cyber Essentials certification.,DSPT9_ITProtection,1,
P03029,The home's current cyber security posture is certified by Cyber Essentials.,DSPT9_ITProtection,1,
P03035,Our data protection toolkit has been submitted and found to meet the required standards.,DSPT9_ITProtection,1,
P03047,The review of our IT protections is carried out at least once a year.,DSPT9_ITProtection,1,
P03062,The storage of personal data on unencrypted laptops is not compliant.,DSPT9_ITProtection,0,
P03065,Laptops holding personal data are not encrypted as per policy.,DSPT9_ITProtection,0,
P03068,Our IT systems are not adequately protected from cyber threats due to lack of a security strategy.,DSPT9_ITProtection,0,
P03071,We do not currently have a documented plan to safeguard our IT systems from cyber threats.,DSPT9_ITProtection,0,
P03073,We do not adhere to any established cybersecurity guidelines or framework.,DSPT9_ITProtection,0,
P03074,No recognised cybersecurity framework is followed.,DSPT9_ITProtection,0,
P03075,Cybersecurity best practices are not implemented.,DSPT9_ITProtection,0,
P03086,The recent DSPT submission did not meet the specified requirements,DSPT9_ITProtection,0,
P03110,Suppliers ensure personal data processed is safeguarded.,DSPT10_Suppliers,1,
P03121,Suppliers comply with national data security standards as per the contract,DSPT10_Suppliers,1,
P03128,Our care system provider adhere to DSPT compliance requirements.,DSPT10_Suppliers,1,
P03129,We confirm our care system provider meets DSPT compliance standards.,DSPT10_Suppliers,1,
P03130,Our care system provider maintains DSPT compliance.,DSPT10_Suppliers,1,
P03158,Inadequate governance: Unauthorised third party access to resident records occurred.,DSPT10_Suppliers,0,
P03165,We have not conducted audits on suppliers' data security standards.,DSPT10_Suppliers,0,
P03168,Supplier data security compliance has not been checked.,DSPT10_Suppliers,0,
S0038,Our IT supplier hardens each machine before it is deployed in the home.,CE2_SecureConfig,1,
S0054,High-risk patches are installed promptly once the vendor issues them.,CE3_Patching,1,
S0064,"Patches are installed only when someone remembers, sometimes months late.",CE3_Patching,0,
S0091,Everyone signs in with an administrator account to do their everyday work.,CE4_AccessControl,0,
S0101,Anti-malware software is installed and running on every computer in the home.,CE5_Malware,1,
S0112,The computers do not have any anti-virus software installed.,CE5_Malware,0,
S0124,All staff know they are personally accountable for how they handle personal data.,DSPT1_ConfidentialData,1,
S0143,There is no process for responding when staff breach the data policy.,DSPT2_StaffResponsibilities,0,
S0179,The system does not record which member of staff accessed which record.,DSPT4_DataAccess,0,
S0191,Staff routinely work around the system and this has not been addressed.,DSPT5_ProcessReviews,0,
S0219,We have not considered how care would continue during an IT failure.,DSPT7_Continuity,0,
S0239,All laptops are encrypted so data is protected if a device is lost.,DSPT9_ITProtection,1,
S0258,Data security obligations are written into our supplier contracts.,DSPT10_Suppliers,1,
S0262,Our IT provider has access to resident data with no written agreement in place.,DSPT10_Suppliers,0,
S0264,The contract with our care system provider says nothing about protecting data.,DSPT10_Suppliers,0,
P00150,The use of the same Wi-Fi network by visitors and staff is not acceptable.,CE1_Firewalls,0,
P00165,A firewall was not implemented to secure the care records system.,CE1_Firewalls,0,
P00197,Staff members' accounts are deleted from the system upon resignation or termination.,CE2_SecureConfig,1,
P00294,Machines were not properly hardened before staff began using them.,CE2_SecureConfig,0,
P00296,The machines were not hardened prior to staff commencing use.,CE2_SecureConfig,0,
P00319,High-risk patches are installed immediately following receipt of notification from the vendor.,CE3_Patching,1,
P00497,"The care system requires each staff member to have a named login for access,",CE4_AccessControl,1,
P00500,Individual access to records is strictly controlled and documented,CE4_AccessControl,1,
P00501,Record access is in place and is logged,CE4_AccessControl,1,
P00504,All record access is monitored and are recorded with the name and job title of the individual who performed the action,CE4_AccessControl,1,
P00582,"The implementation of a password policy is deficient, with no standard minimum password length established.",CE4_AccessControl,0,
P00583,Staff passwords do not adhere to a minimum standard.,CE4_AccessControl,0,
P00586,There is an absence of a password policy setting a minimum standard for staff passwords.,CE4_AccessControl,0,
P00601,All computers in the care home have anti-malware software installed and operational.,CE5_Malware,1,
P00638,Our mail filtering service scans for and isolates suspicious emails.,CE5_Malware,1,
P00666,Compliance with IT policy requires that anti-virus software is installed on all computer systems.,CE5_Malware,0,
P00668,The absence of anti-virus software on computers constitutes a non-compliant configuration.,CE5_Malware,0,
P00736,All staff are personally accountable for handling personal data,DSPT1_ConfidentialData,1,
P00775,A review of staff practices shows that several staff are unable to articulate their procedures for handling confidential information.,DSPT1_ConfidentialData,0,
P00776,"The IT policy requires staff to state their procedures for confidential information, but several staff have failed to do so.",DSPT1_ConfidentialData,0,
P00791,Visitors should not be allowed to see resident records without proper authorisation.,DSPT1_ConfidentialData,0,
P00826,"A deliberate or avoidable data breach triggers a specific, defined incident response process immediately,",DSPT2_StaffResponsibilities,1,
P00861,Data security training is a statutory requirement for all staff every 12 months,DSPT3_Training,1,
P00923,"Data security training is mandatory, and staff are not compliant.",DSPT3_Training,0,
P00924,"The staff training module on data security is incomplete, as per our policy guidelines.",DSPT3_Training,0,
P00926,"Our policy requires staff to undergo data security training, which has not been done.",DSPT3_Training,0,
P01018,The system records all care record views and the corresponding date and time.,DSPT4_DataAccess,1,
P01019,All care record views are logged in the system.,DSPT4_DataAccess,1,
P01029,Role-based access controls govern staff access to resident records,DSPT4_DataAccess,1,
P01113,The process is reviewed and revised whenever staff identify workarounds to ensure ongoing compliance and quality.,DSPT5_ProcessReviews,1,
P01144,We have a documented procedure for responding to data security incidents.,DSPT6_Incidents,1,
P01149,"Our data security incident response is defined by a comprehensive, written policy.",DSPT6_Incidents,1,
P01155,The incident response plan is the designated document outlining response procedures for a cyber attack.,DSPT6_Incidents,1,
P01210,A data breach has been identified and not reported to the ICO in a timely manner.,DSPT6_Incidents,0,
P01232,The lack of a past security incidents log is noted,DSPT6_Incidents,0,
P01233,No recorded log of past security incidents exists,DSPT6_Incidents,0,
P01307,We have not implemented adequate procedures to ensure continuity of care in the event of an IT system outage.,DSPT7_Continuity,0,
P01309,The lack of a fail-safe mechanism means we cannot confidently state that care instructions would be maintained during an IT failure.,DSPT7_Continuity,0,
P01337,The backup process does not involve storing files on a USB drive.,DSPT7_Continuity,0,
P01415,Inadequate software replacement procedure identified: software not updated despite difficulty.,DSPT8_UnsupportedSystems,0,
P01445,The Cyber Essentials framework is the basis for our IT system protection policies.,DSPT9_ITProtection,1,
P01448,We are follow the Cyber Essentials framework for the protection of our IT systems.,DSPT9_ITProtection,1,
P01508,The Data Security and Protection Toolkit is still outstanding from the current inspection,DSPT9_ITProtection,0,
P01528,Resident data handling suppliers sign a processing agreement prior to data use,DSPT10_Suppliers,1,
P01542,Data security obligations are an integral part of all our supplier contracts,DSPT10_Suppliers,1,
P01575,The contract with our care system provider explicitly states no provisions for data protection,DSPT10_Suppliers,0,
P01658,Multi-factor authentication is in place for all remote router management.,CE1_Firewalls,1,
P01661,Multi-factor authentication is a mandatory security requirement for remote router management.,CE1_Firewalls,1,
P01742,Visitors and staff must not use the same Wi-Fi network for security reasons.,CE1_Firewalls,0,
P01753,"No firewall was implemented to safeguard the care records system,",CE1_Firewalls,0,
P01782,Former staff user accounts are permanently deactivated and removed from the system.,CE2_SecureConfig,1,
P01813,Hardening of machines is in place for all devices before they are introduced into our care environment.,CE2_SecureConfig,1,
P01883,All equipment received no hardening before being used by staff.,CE2_SecureConfig,0,
P01884,Failure to apply hardening to machines occurred prior to staff commencing use.,CE2_SecureConfig,0,
P01886,No hardening applied to machines before staff commenced use.,CE2_SecureConfig,0,
P01906,Prompt installation of high-risk patches is mandated following vendor notification,CE3_Patching,1,
P01918,The automatic deployment of Windows Update applies to every device within our premises.,CE3_Patching,1,
P01920,Windows Update is enabled on all devices within the care home and runs automatically.,CE3_Patching,1,
P01968,The policy of only installing patches when someone remembers results in unacceptable delays of several months.,CE3_Patching,0,
P02076,Each member of staff has a designated login account in the care system.,CE4_AccessControl,1,
P02078,Staff login accounts are in place for access to the care system.,CE4_AccessControl,1,
P02082,Resident records are password-protected,CE4_AccessControl,1,
P02084,Access to resident medical records is restricted to authorised personnel only,CE4_AccessControl,1,
P02124,All employees must log in with an administrator account to conduct their daily work activities.,CE4_AccessControl,0,
P02182,Anti-malware software is installed and running on every computer in the care home.,CE5_Malware,1,
P02185,All computer systems in the care home have anti-malware software installed and running at all times.,CE5_Malware,1,
P02245,Anti-virus software is not installed on all computers.,CE5_Malware,0,
P02317,Personal data handling is staff accountability,DSPT1_ConfidentialData,1,
P02351,Staff are required to disclose their data handling procedures for confidential information to ensure compliance.,DSPT1_ConfidentialData,0,
P02356,Staff must provide a clear explanation of their procedures for handling confidential information to ensure regulatory compliance.,DSPT1_ConfidentialData,0,
P02370,Respectful storage of resident records is essential to maintain confidentiality.,DSPT1_ConfidentialData,0,
P02373,Resident records should be stored in designated secure areas to protect sensitive information.,DSPT1_ConfidentialData,0,
P02405,All staff are adhere to the established process for handling deliberate or avoidable data breaches.,DSPT2_StaffResponsibilities,1,
P02408,Staff are invoke the established data breach procedure in the event of deliberate or avoidable data breaches.,DSPT2_StaffResponsibilities,1,
P02431,A clear response process is absent for incidents arising from staff non-compliance with data policy.,DSPT2_StaffResponsibilities,0,
P02438,It is compulsory for all staff to complete data security training each year,DSPT3_Training,1,
P02439,All staff are complete data security training on an annual basis,DSPT3_Training,1,
P02501,It is a compliance requirement that staff complete the data security training before commencing work.,DSPT3_Training,0,
P02502,"There is a mandatory data security training requirement for all staff, which has not been fulfilled.",DSPT3_Training,0,
P02597,All viewings of care records are logged with a timestamp.,DSPT4_DataAccess,1,
P02600,Viewings of care records are logged and timestamped.,DSPT4_DataAccess,1,
P02606,Staff access to resident records is governed by role-based access controls,DSPT4_DataAccess,1,
P02644,The failure to log staff access to records raises significant compliance and governance concerns.,DSPT4_DataAccess,0,
P02645,"Compliance monitoring reveals that staff are accessing records without recording their identity, thus compromising the record-keeping process.",DSPT4_DataAccess,0,
P02648,"The requirement to record staff access to records is not being met, a serious compliance breach that demands urgent rectification.",DSPT4_DataAccess,0,
P02716,System bypassing by staff is a recurring issue that remains unresolved.,DSPT5_ProcessReviews,0,
P02719,Staff routinely disregard the system and this has yet to be resolved.,DSPT5_ProcessReviews,0,
P02720,The system's bypass by staff is a persistent problem that remains unfixed.,DSPT5_ProcessReviews,0,
P02725,We conduct all data security incident responses in accordance with our documented protocol.,DSPT6_Incidents,1,
P02728,A cyber attack incident response plan is a mandatory document outlining the steps to be taken in response to such an event.,DSPT6_Incidents,1,
P02730,"The incident response plan is a critical component of our cyber security policy, covering procedures for responding to a cyber attack.",DSPT6_Incidents,1,
P02731,"All staff members have knowledge of the incident response plan, which outlines the actions to be taken in the event of a cyber attack.",DSPT6_Incidents,1,
P02790,"All data breaches must be reported to the ICO without delay, as failure to do so constitutes a serious breach of our data protection policy.",DSPT6_Incidents,0,
P02806,Historical incident data is not recorded.,DSPT6_Incidents,0,
P02809,There is no log of previous security breaches.,DSPT6_Incidents,0,
P02834,Our plan provides for the continuity of care during a cyber incident.,DSPT7_Continuity,1,
P02883,Failure to assess and plan for care provision during an IT outage is unacceptable.,DSPT7_Continuity,0,
P02887,The absence of a plan for care provision during an IT failure is a critical compliance breach.,DSPT7_Continuity,0,
P02914,The backup procedure requires an offsite copy.,DSPT7_Continuity,0,
P02941,Approved software and browsers is used by all residents at all times when accessing care home systems.,DSPT8_UnsupportedSystems,1,
P02992,Replacing the software is not considered feasible due to the undue disruption it would cause.,DSPT8_UnsupportedSystems,0,
P02993,We are maintaining the current software version despite the inconvenience of updating.,DSPT8_UnsupportedSystems,0,
P03004,Laptops are encrypted to guarantee the protection of data in the unlikely event of device loss.,DSPT9_ITProtection,1,
P03005,"To mitigate data loss, all laptops are encrypted.",DSPT9_ITProtection,1,
P03023,The Cyber Essentials framework underpins our IT system protection.,DSPT9_ITProtection,1,
P03082,The Data Security and Protection Toolkit has not been fully implemented this year.,DSPT9_ITProtection,0,
P03115,Data security obligations are explicitly stated in all supplier contracts to ensure compliance,DSPT10_Suppliers,1,
P03117,Data security obligations are in place in all contractual agreements with suppliers,DSPT10_Suppliers,1,
P03120,Contractual agreements with suppliers include data security obligations,DSPT10_Suppliers,1,
P03151,Data protection provision is absent from our care system provider contract.,DSPT10_Suppliers,0,
P03155,The contract does not include any provisions for data protection of our care residents.,DSPT10_Suppliers,0,
P03156,Data protection is not explicitly stated in our contract with the care system provider.,DSPT10_Suppliers,0,
S0136,Data protection responsibilities form part of our standard employment terms.,DSPT2_StaffResponsibilities,1,
S0167,Only authorised staff can open residents' confidential records.,DSPT4_DataAccess,1,
S0245,The DSPT assessment was completed and published before the deadline.,DSPT9_ITProtection,1,
S0254,IT security arrangements have not been reviewed for several years.,DSPT9_ITProtection,0,
P00017,Windows Defender Firewall is installed and enabled on every staff-owned laptop and desktop.,CE1_Firewalls,1,
P00057,The annual IT review is a mandatory control to ensure our firewalls are configured in accordance with industry standards.,CE1_Firewalls,1,
P00074,The guest Wi-Fi for visitors and residents is isolated from the staff network.,CE1_Firewalls,1,
P00107,Firewalls must be enabled on all staff laptops when used away from the home premises.,CE1_Firewalls,0,
P00271,"No user account review is performed, resulting in unused logins remaining open.",CE2_SecureConfig,0,
P00299,There is no centralised list of software installed on the home's computers.,CE2_SecureConfig,0,
P00300,The home does not maintain a comprehensive list of software applications used on its computers.,CE2_SecureConfig,0,
P00302,There is no formal record of the software currently running on the home's computers.,CE2_SecureConfig,0,
P00360,The management console is used to ensure device software is up to date.,CE3_Patching,1,
P00361,All devices are checked via our management console on a regular basis.,CE3_Patching,1,
P00363,Device software updates are regularly checked via our management console.,CE3_Patching,1,
P00374,There has been a substantial delay in applying security updates.,CE3_Patching,0,
P00424,Monitoring of patch installations has been discontinued,CE3_Patching,0,
P00489,"In accordance with policy, leavers' access is revoked 24 hours post-departure.",CE4_AccessControl,1,
P00490,Leavers' access is invalid from 24 hours after they leave the care home.,CE4_AccessControl,1,
P00506,"All staff accounts are subject to a strict password policy, requiring robust password strength.",CE4_AccessControl,1,
P00633,Staff inboxes are completely secured from malicious attachments by our email filtering system.,CE5_Malware,1,
P00695,Email filtering to catch phishing and malicious attachments is not available.,CE5_Malware,0,
P00696,The care home does not currently employ email filtering to safeguard against phishing and malicious attachments.,CE5_Malware,0,
P00697,We do not have email filtering in place to prevent phishing or malicious attachments.,CE5_Malware,0,
P00698,There is no email filtering to protect against phishing and malicious attachments.,CE5_Malware,0,
P00712,No approved software installations are enforced on our computers.,CE5_Malware,0,
P00713,Unapproved programs are not permitted to run on our systems.,CE5_Malware,0,
P00730,Staff are aware of their obligations regarding resident confidentiality,DSPT1_ConfidentialData,1,
P00812,Data protection responsibilities are a compulsory part of our standard employment terms.,DSPT2_StaffResponsibilities,1,
P00839,Failure to do so constitutes a compliance breach,DSPT2_StaffResponsibilities,0,
P00899,All staff are pass a data security compliance test on completion of training,DSPT3_Training,1,
P00903,All staff undergoing data security training pass a compliance test to validate their understanding of security procedures,DSPT3_Training,1,
P00952,Lack of documented evidence of staff completing information governance training is a critical oversight.,DSPT3_Training,0,
P00954,Failure to record staff information governance training completion is unacceptable.,DSPT3_Training,0,
P00956,Insufficient records of staff information governance training completion compromise compliance with data protection regulations.,DSPT3_Training,0,
P00967,"While training is supplied, there is no evaluation of staff's comprehension.",DSPT3_Training,0,
P01042,This is unacceptable: any resident's personal data must be password-protected and only accessible to authorised personnel.,DSPT4_DataAccess,0,
P01050,No staff access rights are revoked upon change of role,DSPT4_DataAccess,0,
P01051,Changing staff roles does not result in access rights removal,DSPT4_DataAccess,0,
P01090,Annual reviews confirm our information processes remain fit for purpose,DSPT5_ProcessReviews,1,
P01091,Compliance is assured through the annual review of our information systems,DSPT5_ProcessReviews,1,
P01093,Our annual review ensures our information systems continue to meet regulatory requirements,DSPT5_ProcessReviews,1,
P01186,Everyone is aware of the procedure for reporting a suspected security incident.,DSPT6_Incidents,1,
P01189,Staff are aware of the correct process.,DSPT6_Incidents,1,
P01209,Our operational procedures do not include a contingency plan for a cyber attack.,DSPT6_Incidents,0,
P01284,"Data backups are encrypted and kept in a separate, secure location",DSPT7_Continuity,1,
P01288,Copies of our data are stored off-site to prevent loss in the event of a fire or theft.,DSPT7_Continuity,1,
P01290,Data backups are stored securely off-site to ensure business continuity in the event of fire or theft.,DSPT7_Continuity,1,
P01291,"To prevent loss in the event of a fire or theft, our data is stored securely off-site.",DSPT7_Continuity,1,
P01342,The office machine is the sole repository for our data.,DSPT7_Continuity,0,
P01343,Our data is stored solely on the machine in the office.,DSPT7_Continuity,0,
P01357,All operating systems currently in use have active vendor support.,DSPT8_UnsupportedSystems,1,
P01381,Legacy equipment is disconnected from the main network before replacement takes place.,DSPT8_UnsupportedSystems,1,
P01382,Legacy equipment is isolated from the main network prior to the commencement of replacement activities.,DSPT8_UnsupportedSystems,1,
P01398,It is unacceptable that an unsupported web browser is still used to access the care system.,DSPT8_UnsupportedSystems,0,
P01461,The DSPT assessment was completed on time as stipulated in the policy.,DSPT9_ITProtection,1,
P01465,Compliance with the DSPT assessment deadline was maintained throughout the assessment process.,DSPT9_ITProtection,1,
P01483,E-mailing care records without encryption is a serious contravention of data protection rules.,DSPT9_ITProtection,0,
P01516,Our security protocols have not been reviewed since 20XX,DSPT9_ITProtection,0,
P01519,We are in breach of our IT security policy due to lack of recent review,DSPT9_ITProtection,0,
P01557,No data processing agreements have been formally documented with our suppliers,DSPT10_Suppliers,0,
P01558,We do not have a signed data processing agreement with our software providers,DSPT10_Suppliers,0,
P01562,We lack a signed data processing agreement with our software vendor,DSPT10_Suppliers,0,
P01650,Our IT review protocol includes a check of the firewall configuration.,CE1_Firewalls,1,
P01664,The care home maintains separate Wi-Fi networks for visitors and residents from staff,CE1_Firewalls,1,
P01695,Firewalls are mandatory for laptops used outside the premises,CE1_Firewalls,0,
P01729,The firewall configuration has not been assessed in over two years.,CE1_Firewalls,0,
P01732,No update to the firewall rules has been made in over 24 months.,CE1_Firewalls,0,
P01769,Unique passwords are a statutory requirement for all equipment setup.,CE2_SecureConfig,1,
P01817,We maintain a record of all installed software on our premises,CE2_SecureConfig,1,
P01820,Software installed on all computers is recorded in our system,CE2_SecureConfig,1,
P01860,"Due to the lack of review, unused user logins remain open and active",CE2_SecureConfig,0,
P01948,Our management console tracks device updates to ensure compliance.,CE3_Patching,1,
P01950,We use our management console to ensure all devices are up to date.,CE3_Patching,1,
P01961,The IT system is in need of urgent security update application,CE3_Patching,0,
P01963,The IT system is overdue for security updates following several months of neglect,CE3_Patching,0,
P02073,"The IT system automatically removes residents' access 24 hours after their departure, in compliance with our incident log procedures.",CE4_AccessControl,1,
P02074,Our IT policy and safeguarding procedures require that leavers' access be withdrawn within 24 hours of departure.,CE4_AccessControl,1,
P02152,Staff are required to leave the password in plain sight for all users.,CE4_AccessControl,0,
P02171,There are no requirements for password length or strength.,CE4_AccessControl,0,
P02214,It is policy that staff use approved email filtering to block malicious attachments before they reach staff inboxes.,CE5_Malware,1,
P02310,Proper handling of confidential information is a fundamental part of staff duties,DSPT1_ConfidentialData,1,
P02386,Data protection responsibilities are an integral part of our employment terms and conditions,DSPT2_StaffResponsibilities,1,
P02464,The current year's training records indicate a ninety-five per cent completion rate,DSPT3_Training,1,
P02467,Training records demonstrate a ninety-five per cent completion level for the current year,DSPT3_Training,1,
P02477,"As part of their training, all staff pass the data security awareness test.",DSPT3_Training,1,
P02478,The data security training programme requires all staff to pass a competence test.,DSPT3_Training,1,
P02541,The training is mandated but staff are not subjected to a competency check.,DSPT3_Training,0,
P02542,"Staff are required to undergo training, yet they are not formally assessed for their knowledge.",DSPT3_Training,0,
P02619,The system allows anyone with a login to access the full care record of any resident.,DSPT4_DataAccess,0,
P02620,All staff with a login can access a resident's full care record without restriction.,DSPT4_DataAccess,0,
